Year|Consumption|State|Source
1978|83695|North Carolina|Natural Gas
1977|73905|North Carolina|Natural Gas
1976|102996|North Carolina|Natural Gas
1975|116889|North Carolina|Natural Gas
1974|143722|North Carolina|Natural Gas
1973|165215|North Carolina|Natural Gas
1972|167831|North Carolina|Natural Gas
1971|164420|North Carolina|Natural Gas
1970|154856|North Carolina|Natural Gas
1969|140204|North Carolina|Natural Gas
1968|117794|North Carolina|Natural Gas
1967|100822|North Carolina|Natural Gas
1966|89442|North Carolina|Natural Gas
1965|78245|North Carolina|Natural Gas
1964|70932|North Carolina|Natural Gas
1963|64539|North Carolina|Natural Gas
1962|58346|North Carolina|Natural Gas
1961|52291|North Carolina|Natural Gas
1960|47032|North Carolina|Natural Gas
2017|112146|North Dakota|Natural Gas
2016|105625|North Dakota|Natural Gas
2015|100852|North Dakota|Natural Gas
2014|89095|North Dakota|Natural Gas
2013|82334|North Dakota|Natural Gas
2012|71873|North Dakota|Natural Gas
2011|72247|North Dakota|Natural Gas
2010|64263|North Dakota|Natural Gas
2009|51921|North Dakota|Natural Gas
2008|60480|North Dakota|Natural Gas
2007|56842|North Dakota|Natural Gas
2006|50007|North Dakota|Natural Gas
2005|49643|North Dakota|Natural Gas
2004|56410|North Dakota|Natural Gas
2003|56088|North Dakota|Natural Gas
2002|61592|North Dakota|Natural Gas
2001|57334|North Dakota|Natural Gas
2000|53421|North Dakota|Natural Gas
1999|53404|North Dakota|Natural Gas
1998|45753|North Dakota|Natural Gas
1997|53699|North Dakota|Natural Gas
1996|45716|North Dakota|Natural Gas
1995|41663|North Dakota|Natural Gas
1994|39325|North Dakota|Natural Gas
1993|36274|North Dakota|Natural Gas
1992|32147|North Dakota|Natural Gas
1991|36122|North Dakota|Natural Gas
1990|28045|North Dakota|Natural Gas
1989|25922|North Dakota|Natural Gas
1988|25018|North Dakota|Natural Gas
1987|20616|North Dakota|Natural Gas
1986|21367|North Dakota|Natural Gas
1985|25551|North Dakota|Natural Gas
1984|22888|North Dakota|Natural Gas
1983|27302|North Dakota|Natural Gas
1982|29003|North Dakota|Natural Gas
1981|35457|North Dakota|Natural Gas
1980|23830|North Dakota|Natural Gas
1979|29236|North Dakota|Natural Gas
1978|39067|North Dakota|Natural Gas
1977|37650|North Dakota|Natural Gas
1976|41177|North Dakota|Natural Gas
1975|36862|North Dakota|Natural Gas
1974|35530|North Dakota|Natural Gas
1973|33206|North Dakota|Natural Gas
1972|37604|North Dakota|Natural Gas
1971|34618|North Dakota|Natural Gas
1970|33731|North Dakota|Natural Gas
1969|32944|North Dakota|Natural Gas
1968|33317|North Dakota|Natural Gas
1967|32049|North Dakota|Natural Gas
1966|31864|North Dakota|Natural Gas
1965|32437|North Dakota|Natural Gas
1964|33390|North Dakota|Natural Gas
1963|32283|North Dakota|Natural Gas
1962|32045|North Dakota|Natural Gas
1961|29310|North Dakota|Natural Gas
1960|27356|North Dakota|Natural Gas
2017|1014287|Ohio|Natural Gas
2016|994162|Ohio|Natural Gas
2015|1031716|Ohio|Natural Gas
2014|1058802|Ohio|Natural Gas
2013|945731|Ohio|Natural Gas
2012|869556|Ohio|Natural Gas
2011|848771|Ohio|Natural Gas
2010|810593|Ohio|Natural Gas
2009|770759|Ohio|Natural Gas
2008|823457|Ohio|Natural Gas
2007|835555|Ohio|Natural Gas
2006|770872|Ohio|Natural Gas
2005|860874|Ohio|Natural Gas
2004|862397|Ohio|Natural Gas
2003|877891|Ohio|Natural Gas
2002|862453|Ohio|Natural Gas
2001|836825|Ohio|Natural Gas
2000|926922|Ohio|Natural Gas
1999|871913|Ohio|Natural Gas
1998|842630|Ohio|Natural Gas
1997|936758|Ohio|Natural Gas
1996|966665|Ohio|Natural Gas
1995|923007|Ohio|Natural Gas
1994|871347|Ohio|Natural Gas
1993|864580|Ohio|Natural Gas
1992|838235|Ohio|Natural Gas
1991|798398|Ohio|Natural Gas
1990|775706|Ohio|Natural Gas
1989|847953|Ohio|Natural Gas
1988|837475|Ohio|Natural Gas
1987|747082|Ohio|Natural Gas
1986|744329|Ohio|Natural Gas
1985|739854|Ohio|Natural Gas
1984|768864|Ohio|Natural Gas
1983|708534|Ohio|Natural Gas
1982|770419|Ohio|Natural Gas
1981|818902|Ohio|Natural Gas
1980|841059|Ohio|Natural Gas
1979|920390|Ohio|Natural Gas
1978|950973|Ohio|Natural Gas
1977|867837|Ohio|Natural Gas
1976|1031075|Ohio|Natural Gas
1975|978885|Ohio|Natural Gas
1974|1114904|Ohio|Natural Gas
1973|1131760|Ohio|Natural Gas
1972|1174203|Ohio|Natural Gas
1971|1112130|Ohio|Natural Gas
1970|1077151|Ohio|Natural Gas
1969|1063953|Ohio|Natural Gas
1968|1018464|Ohio|Natural Gas
1967|994595|Ohio|Natural Gas
1966|975841|Ohio|Natural Gas
1965|909391|Ohio|Natural Gas
1964|852659|Ohio|Natural Gas
1963|826138|Ohio|Natural Gas
1962|784630|Ohio|Natural Gas
1961|746456|Ohio|Natural Gas
1960|724824|Ohio|Natural Gas
2017|692388|Oklahoma|Natural Gas
2016|736164|Oklahoma|Natural Gas
2015|711393|Oklahoma|Natural Gas
2014|667360|Oklahoma|Natural Gas
2013|682277|Oklahoma|Natural Gas
2012|712411|Oklahoma|Natural Gas
2011|676910|Oklahoma|Natural Gas
2010|697351|Oklahoma|Natural Gas
2009|681062|Oklahoma|Natural Gas
2008|711379|Oklahoma|Natural Gas
2007|677472|Oklahoma|Natural Gas
2006|644381|Oklahoma|Natural Gas
2005|600011|Oklahoma|Natural Gas
2004|555273|Oklahoma|Natural Gas
2003|556306|Oklahoma|Natural Gas
2002|522530|Oklahoma|Natural Gas
2001|505220|Oklahoma|Natural Gas
2000|546706|Oklahoma|Natural Gas
1999|550768|Oklahoma|Natural Gas
1998|583964|Oklahoma|Natural Gas
1997|573479|Oklahoma|Natural Gas
1996|587957|Oklahoma|Natural Gas
1995|586432|Oklahoma|Natural Gas
1994|595671|Oklahoma|Natural Gas
1993|600099|Oklahoma|Natural Gas
1992|565655|Oklahoma|Natural Gas
1991|589960|Oklahoma|Natural Gas
1990|628222|Oklahoma|Natural Gas
1989|620318|Oklahoma|Natural Gas
1988|611171|Oklahoma|Natural Gas
1987|617551|Oklahoma|Natural Gas
1986|570749|Oklahoma|Natural Gas
1985|603855|Oklahoma|Natural Gas
1984|669277|Oklahoma|Natural Gas
1983|655366|Oklahoma|Natural Gas
1982|692328|Oklahoma|Natural Gas
1981|694455|Oklahoma|Natural Gas
1980|738931|Oklahoma|Natural Gas
1979|844294|Oklahoma|Natural Gas
1978|788658|Oklahoma|Natural Gas
1977|787694|Oklahoma|Natural Gas
1976|770752|Oklahoma|Natural Gas
1975|678851|Oklahoma|Natural Gas
1974|681130|Oklahoma|Natural Gas
1973|625808|Oklahoma|Natural Gas
1972|649909|Oklahoma|Natural Gas
1971|631152|Oklahoma|Natural Gas
1970|616279|Oklahoma|Natural Gas
1969|558754|Oklahoma|Natural Gas
1968|507884|Oklahoma|Natural Gas
1967|460163|Oklahoma|Natural Gas
1966|449319|Oklahoma|Natural Gas
1965|480079|Oklahoma|Natural Gas
1964|522805|Oklahoma|Natural Gas
1963|490988|Oklahoma|Natural Gas
1962|416403|Oklahoma|Natural Gas
1961|316051|Oklahoma|Natural Gas
1960|319270|Oklahoma|Natural Gas
2017|262537|Oregon|Natural Gas
2016|249829|Oregon|Natural Gas
2015|245897|Oregon|Natural Gas
2014|226472|Oregon|Natural Gas
2013|244265|Oregon|Natural Gas
2012|220578|Oregon|Natural Gas
2011|203607|Oregon|Natural Gas
2010|242914|Oregon|Natural Gas
2009|254837|Oregon|Natural Gas
2008|274659|Oregon|Natural Gas
2007|260240|Oregon|Natural Gas
2006|229731|Oregon|Natural Gas
2005|239539|Oregon|Natural Gas
2004|238049|Oregon|Natural Gas
2003|215102|Oregon|Natural Gas
2002|206808|Oregon|Natural Gas
2001|235634|Oregon|Natural Gas
2000|230962|Oregon|Natural Gas
1999|246996|Oregon|Natural Gas
1998|239269|Oregon|Natural Gas
1997|193771|Oregon|Natural Gas
1996|188209|Oregon|Natural Gas
1995|152111|Oregon|Natural Gas
1994|152929|Oregon|Natural Gas
1993|141796|Oregon|Natural Gas
1992|127163|Oregon|Natural Gas
1991|127778|Oregon|Natural Gas
1990|111724|Oregon|Natural Gas
1989|111807|Oregon|Natural Gas
1988|89162|Oregon|Natural Gas
1987|82487|Oregon|Natural Gas
1986|72523|Oregon|Natural Gas
1985|85486|Oregon|Natural Gas
1984|81467|Oregon|Natural Gas
1983|69791|Oregon|Natural Gas
1982|73916|Oregon|Natural Gas
1981|78887|Oregon|Natural Gas
1980|82324|Oregon|Natural Gas
1979|97905|Oregon|Natural Gas
1978|90025|Oregon|Natural Gas
1977|75567|Oregon|Natural Gas
1976|95830|Oregon|Natural Gas
1975|114184|Oregon|Natural Gas
1974|102365|Oregon|Natural Gas
1973|114331|Oregon|Natural Gas
1972|115326|Oregon|Natural Gas
1971|105437|Oregon|Natural Gas
1970|99572|Oregon|Natural Gas
1969|92598|Oregon|Natural Gas
1968|83504|Oregon|Natural Gas
1967|73999|Oregon|Natural Gas
1966|69324|Oregon|Natural Gas
1965|59990|Oregon|Natural Gas
1964|57979|Oregon|Natural Gas
1963|46731|Oregon|Natural Gas
1962|39190|Oregon|Natural Gas
1961|35011|Oregon|Natural Gas
1960|31941|Oregon|Natural Gas
2017|1404220|Pennsylvania|Natural Gas
2016|1354340|Pennsylvania|Natural Gas
2015|1313350|Pennsylvania|Natural Gas
2014|1304080|Pennsylvania|Natural Gas
2013|1175535|Pennsylvania|Natural Gas
2012|1079495|Pennsylvania|Natural Gas
2011|1000507|Pennsylvania|Natural Gas
2010|909259|Pennsylvania|Natural Gas
2009|839453|Pennsylvania|Natural Gas
2008|778251|Pennsylvania|Natural Gas
2007|780090|Pennsylvania|Natural Gas
2006|684695|Pennsylvania|Natural Gas
2005|719117|Pennsylvania|Natural Gas
2004|723189|Pennsylvania|Natural Gas
2003|717461|Pennsylvania|Natural Gas
2002|700472|Pennsylvania|Natural Gas
2001|668960|Pennsylvania|Natural Gas
2000|727214|Pennsylvania|Natural Gas
1999|713447|Pennsylvania|Natural Gas
1998|667150|Pennsylvania|Natural Gas
1997|730639|Pennsylvania|Natural Gas
1996|770927|Pennsylvania|Natural Gas
1995|761428|Pennsylvania|Natural Gas
1994|738865|Pennsylvania|Natural Gas
1993|731693|Pennsylvania|Natural Gas
1992|717188|Pennsylvania|Natural Gas
1991|666938|Pennsylvania|Natural Gas
1990|680468|Pennsylvania|Natural Gas
1989|714659|Pennsylvania|Natural Gas
1988|692470|Pennsylvania|Natural Gas
1987|658802|Pennsylvania|Natural Gas
1986|631709|Pennsylvania|Natural Gas
1985|646711|Pennsylvania|Natural Gas
1984|699645|Pennsylvania|Natural Gas
1983|658671|Pennsylvania|Natural Gas
1982|708310|Pennsylvania|Natural Gas
1981|791190|Pennsylvania|Natural Gas
1980|789585|Pennsylvania|Natural Gas
1979|756079|Pennsylvania|Natural Gas
1978|688256|Pennsylvania|Natural Gas
1977|682372|Pennsylvania|Natural Gas
1976|731356|Pennsylvania|Natural Gas
1975|670085|Pennsylvania|Natural Gas
1974|732721|Pennsylvania|Natural Gas
1973|811496|Pennsylvania|Natural Gas
1972|856316|Pennsylvania|Natural Gas
1971|828583|Pennsylvania|Natural Gas
1970|797877|Pennsylvania|Natural Gas
1969|791217|Pennsylvania|Natural Gas
1968|741600|Pennsylvania|Natural Gas
1967|701546|Pennsylvania|Natural Gas
1966|702888|Pennsylvania|Natural Gas
1965|652906|Pennsylvania|Natural Gas
1964|632666|Pennsylvania|Natural Gas
1963|609513|Pennsylvania|Natural Gas
1962|568742|Pennsylvania|Natural Gas
1961|547651|Pennsylvania|Natural Gas
1960|540094|Pennsylvania|Natural Gas
2017|94728|Rhode Island|Natural Gas
2016|88471|Rhode Island|Natural Gas
2015|96514|Rhode Island|Natural Gas
2014|91374|Rhode Island|Natural Gas
2013|88274|Rhode Island|Natural Gas
2012|98435|Rhode Island|Natural Gas
2011|102465|Rhode Island|Natural Gas
2010|95710|Rhode Island|Natural Gas
2009|94877|Rhode Island|Natural Gas
2008|91220|Rhode Island|Natural Gas
2007|90259|Rhode Island|Natural Gas
2006|78517|Rhode Island|Natural Gas
2005|82460|Rhode Island|Natural Gas
2004|74352|Rhode Island|Natural Gas
2003|80339|Rhode Island|Natural Gas
2002|89824|Rhode Island|Natural Gas
2001|98571|Rhode Island|Natural Gas
2000|91787|Rhode Island|Natural Gas
1999|120719|Rhode Island|Natural Gas
1998|134033|Rhode Island|Natural Gas
1997|120513|Rhode Island|Natural Gas
1996|127144|Rhode Island|Natural Gas
1995|103499|Rhode Island|Natural Gas
1994|112094|Rhode Island|Natural Gas
1993|76502|Rhode Island|Natural Gas
1992|117757|Rhode Island|Natural Gas
1991|77996|Rhode Island|Natural Gas
1990|40399|Rhode Island|Natural Gas
1989|34628|Rhode Island|Natural Gas
1988|31217|Rhode Island|Natural Gas
1987|36824|Rhode Island|Natural Gas
1986|26931|Rhode Island|Natural Gas
1985|30725|Rhode Island|Natural Gas
1984|32535|Rhode Island|Natural Gas
1983|29445|Rhode Island|Natural Gas
1982|28134|Rhode Island|Natural Gas
1981|28873|Rhode Island|Natural Gas
1980|27948|Rhode Island|Natural Gas
1979|27526|Rhode Island|Natural Gas
1978|23339|Rhode Island|Natural Gas
1977|25964|Rhode Island|Natural Gas
1976|20966|Rhode Island|Natural Gas
1975|23453|Rhode Island|Natural Gas
1974|24090|Rhode Island|Natural Gas
1973|20888|Rhode Island|Natural Gas
1972|22966|Rhode Island|Natural Gas
1971|26201|Rhode Island|Natural Gas
1970|25620|Rhode Island|Natural Gas
1969|23503|Rhode Island|Natural Gas
1968|21574|Rhode Island|Natural Gas
1967|19251|Rhode Island|Natural Gas
1966|17385|Rhode Island|Natural Gas
1965|17036|Rhode Island|Natural Gas
1964|16145|Rhode Island|Natural Gas
1963|15343|Rhode Island|Natural Gas
1962|14277|Rhode Island|Natural Gas
1961|13227|Rhode Island|Natural Gas
1960|12253|Rhode Island|Natural Gas
2017|285627|South Carolina|Natural Gas
2016|284225|South Carolina|Natural Gas
2015|284013|South Carolina|Natural Gas
2014|236040|South Carolina|Natural Gas
2013|236942|South Carolina|Natural Gas
2012|250481|South Carolina|Natural Gas
2011|235465|South Carolina|Natural Gas
2010|225961|South Carolina|Natural Gas
2009|197419|South Carolina|Natural Gas
2008|175858|South Carolina|Natural Gas
2007|182201|South Carolina|Natural Gas
2006|181895|South Carolina|Natural Gas
2005|178308|South Carolina|Natural Gas
2004|169518|South Carolina|Natural Gas
2003|151904|South Carolina|Natural Gas
2002|190714|South Carolina|Natural Gas
2001|147167|South Carolina|Natural Gas
2000|165026|South Carolina|Natural Gas
1999|167960|South Carolina|Natural Gas
1998|164881|South Carolina|Natural Gas
1997|158673|South Carolina|Natural Gas
1996|153883|South Carolina|Natural Gas
1995|155957|South Carolina|Natural Gas
1994|148708|South Carolina|Natural Gas
1993|145591|South Carolina|Natural Gas
1992|141758|South Carolina|Natural Gas
1991|137393|South Carolina|Natural Gas
1990|134089|South Carolina|Natural Gas
1989|119649|South Carolina|Natural Gas
1988|115146|South Carolina|Natural Gas
1987|108597|South Carolina|Natural Gas
1986|101474|South Carolina|Natural Gas
1985|100109|South Carolina|Natural Gas
1984|111184|South Carolina|Natural Gas
1983|104301|South Carolina|Natural Gas
1982|100978|South Carolina|Natural Gas
1981|145000|South Carolina|Natural Gas
1980|146846|South Carolina|Natural Gas
1979|121479|South Carolina|Natural Gas
1978|121336|South Carolina|Natural Gas
1977|141633|South Carolina|Natural Gas
1976|152416|South Carolina|Natural Gas
1975|125900|South Carolina|Natural Gas
1974|135291|South Carolina|Natural Gas
1973|157128|South Carolina|Natural Gas
1972|148156|South Carolina|Natural Gas
1971|160638|South Carolina|Natural Gas
1970|164305|South Carolina|Natural Gas
1969|145896|South Carolina|Natural Gas
1968|132104|South Carolina|Natural Gas
1967|104561|South Carolina|Natural Gas
1966|100873|South Carolina|Natural Gas
1965|90513|South Carolina|Natural Gas
1964|82101|South Carolina|Natural Gas
1963|78478|South Carolina|Natural Gas
1962|73118|South Carolina|Natural Gas
1961|63060|South Carolina|Natural Gas
1960|60581|South Carolina|Natural Gas
2017|85339|South Dakota|Natural Gas
2016|85021|South Dakota|Natural Gas
2015|83370|South Dakota|Natural Gas
2014|83919|South Dakota|Natural Gas
2013|84527|South Dakota|Natural Gas
2012|71501|South Dakota|Natural Gas
2011|73973|South Dakota|Natural Gas
2010|72926|South Dakota|Natural Gas
2009|66317|South Dakota|Natural Gas
2008|65453|South Dakota|Natural Gas
2007|54099|South Dakota|Natural Gas
2006|40861|South Dakota|Natural Gas
2005|42848|South Dakota|Natural Gas
2004|41757|South Dakota|Natural Gas
2003|43868|South Dakota|Natural Gas
2002|41532|South Dakota|Natural Gas
2001|37035|South Dakota|Natural Gas
2000|38117|South Dakota|Natural Gas
1999|36004|South Dakota|Natural Gas
1998|33370|South Dakota|Natural Gas
1997|36772|South Dakota|Natural Gas
1996|37342|South Dakota|Natural Gas
1995|34738|South Dakota|Natural Gas
1994|31228|South Dakota|Natural Gas
1993|31708|South Dakota|Natural Gas
1992|27035|South Dakota|Natural Gas
1991|26730|South Dakota|Natural Gas
1990|25446|South Dakota|Natural Gas
1989|25922|South Dakota|Natural Gas
1988|24701|South Dakota|Natural Gas
1987|21361|South Dakota|Natural Gas
1986|23409|South Dakota|Natural Gas
1985|25454|South Dakota|Natural Gas
1984|24862|South Dakota|Natural Gas
1983|23582|South Dakota|Natural Gas
1982|25014|South Dakota|Natural Gas
1981|22076|South Dakota|Natural Gas
1980|24020|South Dakota|Natural Gas
1979|25611|South Dakota|Natural Gas
1978|35395|South Dakota|Natural Gas
1977|36097|South Dakota|Natural Gas
1976|39168|South Dakota|Natural Gas
1975|32534|South Dakota|Natural Gas
1974|32044|South Dakota|Natural Gas
1973|31283|South Dakota|Natural Gas
1972|34214|South Dakota|Natural Gas
1971|31959|South Dakota|Natural Gas
1970|36464|South Dakota|Natural Gas
1969|33995|South Dakota|Natural Gas
1968|28959|South Dakota|Natural Gas
1967|27846|South Dakota|Natural Gas
1966|28256|South Dakota|Natural Gas
1965|26884|South Dakota|Natural Gas
1964|27528|South Dakota|Natural Gas
1963|25084|South Dakota|Natural Gas
1962|28372|South Dakota|Natural Gas
1961|26724|South Dakota|Natural Gas
1960|25392|South Dakota|Natural Gas
2017|331634|Tennessee|Natural Gas
2016|336341|Tennessee|Natural Gas
2015|322468|Tennessee|Natural Gas
2014|313887|Tennessee|Natural Gas
2013|284750|Tennessee|Natural Gas
2012|281007|Tennessee|Natural Gas
2011|267929|Tennessee|Natural Gas
2010|263365|Tennessee|Natural Gas
2009|223019|Tennessee|Natural Gas
2008|238441|Tennessee|Natural Gas
2007|229520|Tennessee|Natural Gas
2006|230047|Tennessee|Natural Gas
2005|238400|Tennessee|Natural Gas
2004|238761|Tennessee|Natural Gas
2003|265806|Tennessee|Natural Gas
2002|263690|Tennessee|Natural Gas
2001|265461|Tennessee|Natural Gas
2000|280666|Tennessee|Natural Gas
1999|286363|Tennessee|Natural Gas
1998|287443|Tennessee|Natural Gas
1997|291824|Tennessee|Natural Gas
1996|289307|Tennessee|Natural Gas
1995|264854|Tennessee|Natural Gas
1994|253995|Tennessee|Natural Gas
1993|263147|Tennessee|Natural Gas
1992|249234|Tennessee|Natural Gas
1991|234594|Tennessee|Natural Gas
1990|227522|Tennessee|Natural Gas
1989|228488|Tennessee|Natural Gas
1988|220847|Tennessee|Natural Gas
1987|206963|Tennessee|Natural Gas
1986|194003|Tennessee|Natural Gas
1985|196698|Tennessee|Natural Gas
1984|211280|Tennessee|Natural Gas
1983|199046|Tennessee|Natural Gas
1982|212041|Tennessee|Natural Gas
1981|227063|Tennessee|Natural Gas
1980|233323|Tennessee|Natural Gas
1979|233860|Tennessee|Natural Gas
1978|189201|Tennessee|Natural Gas
1977|208401|Tennessee|Natural Gas
1976|218483|Tennessee|Natural Gas
1975|224065|Tennessee|Natural Gas
1974|265374|Tennessee|Natural Gas
1973|300079|Tennessee|Natural Gas
1972|283375|Tennessee|Natural Gas
1971|270841|Tennessee|Natural Gas
1970|261784|Tennessee|Natural Gas
1969|257524|Tennessee|Natural Gas
1968|243425|Tennessee|Natural Gas
1967|241965|Tennessee|Natural Gas
1966|236752|Tennessee|Natural Gas
1965|211142|Tennessee|Natural Gas
1964|191178|Tennessee|Natural Gas
1963|179197|Tennessee|Natural Gas
1962|173967|Tennessee|Natural Gas
1961|166703|Tennessee|Natural Gas
1960|151740|Tennessee|Natural Gas
2017|3992170|Texas|Natural Gas
2016|4151067|Texas|Natural Gas
2015|4263856|Texas|Natural Gas
2014|4060591|Texas|Natural Gas
2013|4131225|Texas|Natural Gas
2012|3964124|Texas|Natural Gas
2011|3800578|Texas|Natural Gas
2010|3689581|Texas|Natural Gas
2009|3481133|Texas|Natural Gas
2008|3653462|Texas|Natural Gas
2007|3626526|Texas|Natural Gas
2006|3544789|Texas|Natural Gas
2005|3621139|Texas|Natural Gas
2004|4039787|Texas|Natural Gas
2003|4177143|Texas|Natural Gas
2002|4444506|Texas|Natural Gas
2001|4382935|Texas|Natural Gas
2000|4550106|Texas|Natural Gas
1999|4138068|Texas|Natural Gas
1998|4377957|Texas|Natural Gas
1997|4231566|Texas|Natural Gas
1996|4268665|Texas|Natural Gas
1995|4037538|Texas|Natural Gas
1994|3885072|Texas|Natural Gas
1993|3925163|Texas|Natural Gas
1992|3768323|Texas|Natural Gas
1991|3823075|Texas|Natural Gas
1990|3876543|Texas|Natural Gas
1989|3886107|Texas|Natural Gas
1988|3665182|Texas|Natural Gas
1987|3435408|Texas|Natural Gas
1986|3312909|Texas|Natural Gas
1985|3514363|Texas|Natural Gas
1984|3556196|Texas|Natural Gas
1983|3335505|Texas|Natural Gas
1982|3503024|Texas|Natural Gas
1981|4052341|Texas|Natural Gas
1980|4226105|Texas|Natural Gas
1979|4131399|Texas|Natural Gas
1978|4329773|Texas|Natural Gas
1977|4254885|Texas|Natural Gas
1976|4074690|Texas|Natural Gas
1975|4046930|Texas|Natural Gas
1974|4584002|Texas|Natural Gas
1973|4746155|Texas|Natural Gas
1972|4531777|Texas|Natural Gas
1971|4482576|Texas|Natural Gas
1970|4203877|Texas|Natural Gas
1969|4024717|Texas|Natural Gas
1968|3836859|Texas|Natural Gas
1967|3638596|Texas|Natural Gas
1966|3404262|Texas|Natural Gas
1965|3181456|Texas|Natural Gas
1964|3040492|Texas|Natural Gas
1963|3044428|Texas|Natural Gas
1962|2959563|Texas|Natural Gas
1961|2831993|Texas|Natural Gas
1960|2815483|Texas|Natural Gas
2017|231145|Utah|Natural Gas
2016|250199|Utah|Natural Gas
2015|242848|Utah|Natural Gas
2014|251649|Utah|Natural Gas
2013|258661|Utah|Natural Gas
2012|232630|Utah|Natural Gas
2011|230672|Utah|Natural Gas
2010|229078|Utah|Natural Gas
2009|223646|Utah|Natural Gas
2008|237414|Utah|Natural Gas
2007|231125|Utah|Natural Gas
2006|197894|Utah|Natural Gas
2005|168770|Utah|Natural Gas
2004|164154|Utah|Natural Gas
2003|163527|Utah|Natural Gas
2002|172366|Utah|Natural Gas
2001|167582|Utah|Natural Gas
2000|173439|Utah|Natural Gas
1999|169255|Utah|Natural Gas
1998|177960|Utah|Natural Gas
1997|172248|Utah|Natural Gas
1996|168059|Utah|Natural Gas
1995|166860|Utah|Natural Gas
1994|146416|Utah|Natural Gas
1993|149255|Utah|Natural Gas
1992|132362|Utah|Natural Gas
1991|142458|Utah|Natural Gas
1990|126913|Utah|Natural Gas
1989|123414|Utah|Natural Gas
1988|117778|Utah|Natural Gas
1987|106906|Utah|Natural Gas
1986|99706|Utah|Natural Gas
1985|123750|Utah|Natural Gas
1984|124247|Utah|Natural Gas
1983|118449|Utah|Natural Gas
1982|110526|Utah|Natural Gas
1981|109703|Utah|Natural Gas
1980|124990|Utah|Natural Gas
1979|120980|Utah|Natural Gas
1978|113322|Utah|Natural Gas
1977|100999|Utah|Natural Gas
1976|138603|Utah|Natural Gas
1975|117952|Utah|Natural Gas
1974|115206|Utah|Natural Gas
1973|116335|Utah|Natural Gas
1972|116399|Utah|Natural Gas
1971|113876|Utah|Natural Gas
1970|114377|Utah|Natural Gas
1969|110888|Utah|Natural Gas
1968|101626|Utah|Natural Gas
1967|97068|Utah|Natural Gas
1966|95740|Utah|Natural Gas
1965|99810|Utah|Natural Gas
1964|99071|Utah|Natural Gas
1963|88494|Utah|Natural Gas
1962|87938|Utah|Natural Gas
1961|79168|Utah|Natural Gas
1960|72441|Utah|Natural Gas
2017|12300|Vermont|Natural Gas
2016|12383|Vermont|Natural Gas
2015|12245|Vermont|Natural Gas
2014|10853|Vermont|Natural Gas
2013|9743|Vermont|Natural Gas
2012|8287|Vermont|Natural Gas
2011|8677|Vermont|Natural Gas
2010|8501|Vermont|Natural Gas
2009|8679|Vermont|Natural Gas
2008|8665|Vermont|Natural Gas
2007|8874|Vermont|Natural Gas
2006|8062|Vermont|Natural Gas
2005|8396|Vermont|Natural Gas
2004|8708|Vermont|Natural Gas
2003|8441|Vermont|Natural Gas
2002|8399|Vermont|Natural Gas
2001|7909|Vermont|Natural Gas
2000|10545|Vermont|Natural Gas
1999|8128|Vermont|Natural Gas
1998|7827|Vermont|Natural Gas
1997|8309|Vermont|Natural Gas
1996|7461|Vermont|Natural Gas
1995|7259|Vermont|Natural Gas
1994|7274|Vermont|Natural Gas
1993|7221|Vermont|Natural Gas
1992|7570|Vermont|Natural Gas
1991|6982|Vermont|Natural Gas
1990|6678|Vermont|Natural Gas
1989|6064|Vermont|Natural Gas
1988|5494|Vermont|Natural Gas
1987|5113|Vermont|Natural Gas
1986|4954|Vermont|Natural Gas
1985|4958|Vermont|Natural Gas
1984|4829|Vermont|Natural Gas
1983|4324|Vermont|Natural Gas
1982|4340|Vermont|Natural Gas
1981|4352|Vermont|Natural Gas
1980|3951|Vermont|Natural Gas
1979|4398|Vermont|Natural Gas
1978|3819|Vermont|Natural Gas
1977|4025|Vermont|Natural Gas
1976|3700|Vermont|Natural Gas
1975|4005|Vermont|Natural Gas
1974|4785|Vermont|Natural Gas
1973|4212|Vermont|Natural Gas
1972|3817|Vermont|Natural Gas
1971|3066|Vermont|Natural Gas
1970|2679|Vermont|Natural Gas
1969|2391|Vermont|Natural Gas
1968|1674|Vermont|Natural Gas
1967|1374|Vermont|Natural Gas
1966|906|Vermont|Natural Gas
1965|0|Vermont|Natural Gas
1964|0|Vermont|Natural Gas
1963|0|Vermont|Natural Gas
1962|0|Vermont|Natural Gas
1961|0|Vermont|Natural Gas
1960|0|Vermont|Natural Gas
2017|596663|Virginia|Natural Gas
2016|572103|Virginia|Natural Gas
2015|526314|Virginia|Natural Gas
2014|438697|Virginia|Natural Gas
2013|433438|Virginia|Natural Gas
2012|424000|Virginia|Natural Gas
2011|383436|Virginia|Natural Gas
2010|385768|Virginia|Natural Gas
2009|330369|Virginia|Natural Gas
2008|310647|Virginia|Natural Gas
2007|331018|Virginia|Natural Gas
2006|283456|Virginia|Natural Gas
2005|311537|Virginia|Natural Gas
2004|285607|Virginia|Natural Gas
2003|272055|Virginia|Natural Gas
2002|266853|Virginia|Natural Gas
2001|246406|Virginia|Natural Gas
2000|277688|Virginia|Natural Gas
1999|287144|Virginia|Natural Gas
1998|271387|Virginia|Natural Gas
1997|259571|Virginia|Natural Gas
1996|269837|Virginia|Natural Gas
1995|283873|Virginia|Natural Gas
1994|260366|Virginia|Natural Gas
1993|248412|Virginia|Natural Gas
1992|220950|Virginia|Natural Gas
1991|188469|Virginia|Natural Gas
1990|192022|Virginia|Natural Gas
